Similarity Measure:	Tanimoto	 R_th 	10.0	 R:=10
nbr i 	 nbr R 	 t(min) 	 mean SM 	 STD SM: 
1	090	0.000898400942485	1.0	0.0
2	080	0.00152661800385	1.0	0.0
3	070	0.00208688179652	1.0	0.0
4	060	0.00258471568425	1.0	0.0
5	050	0.00303200085958	1.0	0.0
6	040	0.00341428120931	1.0	0.0
7	030	0.00373791456223	1.0	0.0
8	020	0.00401339928309	1.0	0.0
9	010	0.00427053372065	1.0	0.0
10	010	0.0044060309728	1.0	0.0
