57	5	26
44	5	25
46	5	26
56	6	25
56	5	27
60	6	24
59	5	26
42	5	25
58	5	29
40	5	25
55	6	26
58	6	24
43	5	27
61	6	24
59	5	29
45	5	28
43	5	29
47	6	25
60	6	28
39	5	27
61	6	28
61	7	26
57	8	22
56	7	25
41	6	28
60	6	30
41	5	29
46	7	23
54	7	27
56	6	28
62	8	23
56	5	30
42	6	25
54	7	26
46	5	31
59	8	22
45	5	30
63	6	28
44	5	32
57	8	24
43	5	33
42	5	31
45	7	24
38	6	26
46	5	33
58	6	29
59	7	25
45	7	26
47	7	26
61	9	21
43	8	23
65	8	23
57	8	26
55	8	24
44	6	28
45	5	34
61	8	24
44	5	34
41	5	33
47	8	24
60	6	31
57	6	31
44	9	22
64	8	27
59	8	26
59	7	31
54	7	29
40	8	22
39	7	25
41	7	26
40	6	31
65	9	25
39	7	28
44	8	24
61	7	30
37	7	28
48	6	34
59	9	24
63	9	25
62	8	27
47	8	25
43	7	30
47	5	35
63	9	22
57	8	25
53	8	27
41	8	24
38	8	25
54	7	31
65	8	27
40	6	32
61	9	23
57	6	33
40	7	28
64	10	22
55	8	27
43	6	34
47	7	32
56	10	22
66	10	22
46	9	22
65	8	29
38	9	23
66	9	26
64	9	24
58	10	21
44	6	32
54	9	24
37	7	30
43	8	27
42	9	26
61	7	32
62	8	29
44	9	26
38	9	21
45	5	37
44	8	28
56	8	30
43	7	29
40	6	34
47	9	23
37	8	27
37	8	26
45	7	32
55	7	33
65	11	21
58	8	30
63	9	27
43	10	23
58	7	32
60	10	25
48	6	35
63	8	31
66	10	24
60	11	20
39	7	30
38	7	31
45	9	25
60	8	31
44	7	34
58	10	26
40	10	21
56	9	26
37	7	32
53	8	31
39	6	34
43	6	36
43	7	32
43	9	25
54	9	28
47	8	30
49	8	31
45	9	27
63	11	20
36	8	31
44	8	31
49	8	30
56	8	32
63	8	32
41	7	32
41	9	25
48	8	33
36	10	22
60	11	23
46	7	37
39	10	23
43	8	33
58	8	34
48	9	27
42	7	35
54	8	33
41	7	36
58	9	28
37	10	25
45	11	22
56	9	28
44	9	29
48	7	36
37	9	29
66	9	30
59	8	34
34	10	23
43	9	30
44	10	23
55	11	24
61	8	32
58	11	23
56	8	35
54	10	25
38	10	27
48	10	25
62	11	23
57	11	24
36	8	30
66	10	27
39	8	33
58	9	30
63	9	31
46	8	34
62	12	21
42	7	37
53	9	30
63	11	24
66	12	23
37	8	34
47	8	35
42	10	26
41	8	35
59	9	32
66	11	26
42	10	25
39	10	25
50	9	33
54	8	34
43	11	23
63	10	29
59	10	27
38	11	21
55	8	35
43	7	37
40	7	37
62	11	25
65	10	29
65	12	22
44	10	27
46	11	23
64	9	34
37	10	26
46	11	25
34	9	30
36	8	33
43	10	30
41	11	23
40	9	32
37	9	32
57	11	27
45	10	30
36	10	28
46	9	32
38	9	31
49	8	35
49	11	26
45	11	26
55	10	29
44	8	37
63	13	22
47	9	33
42	9	32
34	10	29
36	12	20
33	10	26
56	9	34
39	8	36
69	12	24
60	12	25
40	12	21
48	10	30
46	8	37
48	11	28
39	12	22
35	11	24
67	13	22
40	11	26
64	10	31
67	12	26
60	10	34
42	9	34
46	10	28
34	9	32
49	10	32
59	12	24
56	12	23
39	10	31
59	9	35
57	11	29
47	10	31
53	10	29
53	10	33
33	12	23
44	10	32
49	9	36
38	12	24
55	12	27
69	12	26
38	10	30
35	12	22
56	11	30
45	10	33
35	13	20
64	12	25
62	10	32
60	11	31
36	10	31
43	8	37
63	12	26
56	9	37
61	13	25
36	11	26
40	9	35
67	11	32
61	13	23
68	11	30
70	12	27
57	10	35
45	12	24
65	13	24
42	11	28
64	10	34
60	10	35
67	12	29
33	10	31
53	12	28
64	11	33
36	12	25
66	12	28
44	11	29
48	9	37
41	12	25
43	12	24
66	11	31
68	14	23
53	10	34
47	13	24
50	11	30
32	11	26
48	10	34
41	10	31
63	13	24
57	13	26
54	11	31
44	9	35
34	10	30
68	12	28
65	12	30
39	9	36
38	12	26
60	11	33
34	12	25
48	12	26
43	13	22
48	10	36
44	9	41
39	13	21
44	12	28
42	13	24
61	13	26
38	9	38
39	11	30
59	14	23
44	11	31
50	12	28
68	14	25
54	13	26
37	11	29
66	14	23
49	11	33
57	12	31
57	10	36
39	10	35
58	12	29
57	10	37
59	13	26
40	9	38
46	10	36
55	11	35
38	10	33
54	13	28
46	13	28
37	14	21
54	13	24
43	12	30
56	11	33
33	12	27
56	14	24
42	9	40
69	13	31
64	12	31
61	12	32
40	14	22
50	11	34
61	10	38
71	14	27
45	13	26
57	13	28
38	10	35
41	14	21
41	11	33
42	10	36
35	12	29
60	10	39
38	10	37
34	14	21
35	14	21
48	12	31
58	11	35
53	12	32
64	11	36
38	13	24
44	13	26
44	10	38
46	12	31
49	11	36
34	12	29
64	15	24
61	15	22
32	13	25
61	11	37
59	11	36
50	13	27
68	14	26
39	9	40
40	13	27
43	12	29
48	13	28
42	10	38
31	12	27
64	12	34
46	13	26
67	14	26
56	13	28
34	14	24
62	12	34
44	14	24
68	13	31
50	13	31
45	15	22
46	10	41
44	11	36
66	15	24
64	13	32
49	14	25
53	11	36
56	11	38
41	14	26
43	14	23
60	12	35
65	13	30
39	12	33
62	15	24
48	12	35
46	12	34
70	15	23
55	12	34
44	10	41
55	11	36
59	15	25
54	13	30
40	13	30
68	16	23
57	12	32
52	14	27
30	13	27
35	12	33
42	14	25
52	12	33
71	14	30
45	13	30
63	16	22
41	12	32
48	15	24
52	14	28
34	15	23
59	11	40
64	12	37
44	12	35
52	14	30
39	15	22
46	15	23
39	11	36
35	13	28
50	12	34
67	14	31
48	15	25
33	14	27
41	10	39
43	10	40
60	14	27
49	14	29
63	15	25
69	15	27
68	13	35
56	13	34
39	11	38
39	15	23
46	15	25
60	13	34
57	15	26
58	13	31
54	12	38
58	12	36
35	15	22
38	15	25
54	15	24
50	12	36
37	12	34
32	15	22
48	10	41
32	14	25
48	11	40
59	16	23
37	13	32
72	15	27
52	12	35
57	12	38
55	14	29
61	13	33
71	16	25
65	15	26
67	13	36
49	13	32
59	11	42
56	11	40
58	15	27
50	15	27
46	11	40
38	14	30
55	11	39
61	12	40
67	17	23
32	12	33
44	16	23
66	12	37
53	13	34
49	12	38
68	16	26
47	12	37
57	15	29
56	16	24
64	13	34
69	15	30
63	16	24
59	12	38
67	16	24
46	14	32
45	11	39
46	10	43
43	12	36
33	12	34
67	15	27
63	13	36
41	12	38
53	16	25
45	16	23
61	17	22
35	13	34
50	15	26
30	14	28
65	14	30
69	17	23
64	16	26
46	12	39
45	13	36
39	12	37
65	17	22
59	12	39
48	16	25
65	13	36
36	14	29
70	14	35
32	14	28
67	14	34
47	13	34
36	17	22
63	15	31
46	15	28
50	14	33
39	14	31
56	13	38
53	16	27
40	15	26
50	14	30
59	12	41
47	15	29
34	15	25
65	17	24
34	13	33
45	12	38
52	15	30
53	13	37
63	13	40
47	16	25
58	11	43
56	14	31
40	17	22
67	17	26
70	17	26
33	16	22
31	15	27
32	16	23
54	13	39
46	16	26
72	17	25
70	17	23
48	17	24
45	15	31
69	16	27
59	17	24
49	12	41
56	14	35
38	14	32
60	16	27
